fidelity,noise,seed,model,model_label,drift_delta,ambiguous_accuracy,test_accuracy,path_contrast,directed_contrast,spearman_drift,spearman_bifurc
0.75,0.25,1012,Additive,Additive,-0.602922077922078,0.5946,0.8774752475247525,-0.435956037003133,5.750816673537096,0.9044785347340698,0.7861680849550059
0.75,0.25,1012,Joint,Token-Time,-0.6360389610389612,0.6262,0.8391089108910891,0.3938624534859425,6.650322566429773,0.9321338831303722,0.7986065673647206
0.75,0.25,1013,Additive,Additive,-0.4671658986175114,0.5906,0.8807106598984772,-0.1849926511446638,0.5980276465415955,0.9038788937915909,0.8496178372568199
0.75,0.25,1013,Joint,Token-Time,-0.5694700460829494,0.6238,0.8730964467005076,-0.10440462537937689,3.0289228591654034,0.8610540912205163,0.8057066907149053
0.75,0.25,1014,Additive,Additive,-0.6068965517241378,0.6426,0.8648648648648649,-0.6925457494216971,5.02240528203547,0.8968724702063827,0.8268630071232694
0.75,0.25,1014,Joint,Token-Time,-0.7275862068965515,0.59,0.8918918918918919,-1.2549514638725667,4.625782099924981,0.9355106987326767,0.8552039507499668
0.625,0.375,1000,Additive,Additive,-0.4636904761904762,0.6162,0.8597997138769671,-0.07137033653312486,2.6914452452744753,0.7091796409731643,0.4833465839949639
0.625,0.375,1000,Joint,Token-Time,-0.42797619047619045,0.628,0.8412017167381974,0.14092906881789014,3.5199543341994284,0.39450957839159184,0.06392855273424491
0.625,0.375,1001,Additive,Additive,-0.6288043478260867,0.602,0.8384728340675477,-0.8311998034478165,-2.7280128747224808,0.45386362022952415,0.35445322380582184
0.625,0.375,1001,Joint,Token-Time,-0.49800724637681143,0.6378,0.8046989720998532,-0.5881583844311535,-2.395724553614855,0.3903130472966814,0.2945153062271248
0.625,0.375,1002,Additive,Additive,-0.38711755233494355,0.5946,0.8290854572713643,-0.5627586668919005,6.237528819117754,0.03569935736314615,-0.058594335396592576
0.625,0.375,1002,Joint,Token-Time,-0.3476650563607087,0.6094,0.8305847076461769,-0.772021240244309,4.54887998198706,0.15459095696593925,-0.02656840141789977
0.625,0.375,1003,Additive,Additive,-0.2504444444444444,0.6004,0.8588235294117647,-0.3996175913517144,1.7346779773277894,0.6410132868182111,0.5632076638889941
0.625,0.375,1003,Joint,Token-Time,-0.23355555555555557,0.6092,0.85,-0.8031972216974412,-1.9857706659961314,0.2680441789090183,0.23092490876478394
0.625,0.375,1004,Additive,Additive,-0.5361904761904762,0.6008,0.8352941176470589,0.16167130693793297,8.122286142781377,0.8120210402477392,0.7427376975357778
0.625,0.375,1004,Joint,Token-Time,-0.5423809523809524,0.6078,0.85,0.0012090482438602557,2.7056788491706047,0.9457118194543354,0.8866506187708062
0.625,0.375,1005,Additive,Additive,-0.4207407407407407,0.6058,0.8371040723981901,-0.23321728071286563,1.041643076709338,0.8402710104571719,0.8252039841395142
0.625,0.375,1005,Joint,Token-Time,-0.5429629629629629,0.6356,0.7903469079939668,0.164812998447035,1.6288402215355928,0.7954781043597114,0.7354962750473858
0.625,0.375,1006,Additive,Additive,-0.49393939393939407,0.6072,0.8272727272727273,0.4783690603152433,-0.957958063317669,0.8739994266253438,0.8277663417018948
0.625,0.375,1006,Joint,Token-Time,-0.35670995670995687,0.667,0.7606060606060606,0.9258166734362021,-0.38871953181094554,0.9330755762152971,0.8406626847006204
0.625,0.375,1007,Additive,Additive,-0.51,0.6104,0.8352769679300291,-0.7731332778930664,1.213231285413106,0.8137530532964009,0.7578630739892336
0.625,0.375,1007,Joint,Token-Time,-0.5286363636363636,0.6364,0.8192419825072886,0.24907790641817762,1.291239086124632,0.8909787125681555,0.8677458121520244
0.625,0.375,1008,Additive,Additive,-0.47478260869565203,0.5948,0.8668596237337193,0.43050620175661525,1.3123959437722252,0.7023721236374584,0.7502040297034049
0.625,0.375,1008,Joint,Token-Time,-0.3940869565217391,0.637,0.8234442836468886,-0.13054009621578588,1.2842209565024518,0.8590609295555586,0.7868854315526094
0.625,0.375,1009,Additive,Additive,-0.45571428571428557,0.6126,0.8123028391167192,-1.0885985494990433,2.4265937959509234,0.5722923775732685,0.3141034555623322
0.625,0.375,1009,Joint,Token-Time,-0.31952380952380977,0.6502,0.8028391167192429,0.23672965674528057,4.31381526576089,0.6662713942328403,0.41104668939025163
0.625,0.375,1010,Additive,Additive,-0.5194444444444446,0.6208,0.8547655068078669,-0.5551896108580485,4.964488485029766,0.6803030642193674,0.5225326526896171
0.625,0.375,1010,Joint,Token-Time,-0.41435185185185164,0.6754,0.7912254160363086,-0.8068027417175472,1.150860520345823,0.9243189534543166,0.8539468764345279
0.625,0.375,1011,Additive,Additive,-0.4695804195804196,0.6156,0.8539493293591655,-0.32420756528154016,0.04981699865311384,0.8904743917946577,0.7939024404107812
0.625,0.375,1011,Joint,Token-Time,-0.4849650349650349,0.6368,0.7958271236959762,-0.36163129028864205,2.3965077488683164,0.9185311403030557,0.807599602294714
0.625,0.375,1012,Additive,Additive,-0.451818181818182,0.5928,0.8514115898959881,-0.4990641378930638,0.3348188275205235,0.8745426288874156,0.8270403174548285
0.625,0.375,1012,Joint,Token-Time,-0.39030303030303015,0.635,0.7949479940564635,-0.8585869637317955,0.9009669992540559,0.9599252494156196,0.8613208864572266
0.625,0.375,1013,Additive,Additive,-0.21304347826086967,0.6308,0.8280060882800608,0.30385761441928993,2.5984928719699383,0.53528313048487,0.38186334186778453
0.625,0.375,1013,Joint,Token-Time,-0.3130434782608694,0.596,0.852359208523592,0.2519731440448334,3.644057519999998,0.1615150161999011,0.10071919978397588
0.625,0.375,1014,Additive,Additive,-0.42992424242424243,0.6338,0.8195266272189349,0.3684816916606257,1.6397001392075001,0.6843603025151198,0.6637417811250647
0.625,0.375,1014,Joint,Token-Time,-0.41931818181818176,0.6244,0.7958579881656804,0.7673840512122423,1.6724586802135626,0.8788290670398518,0.8389761437546547
0.5,0.5,1000,Additive,Additive,-0.3606719367588933,0.6072,0.824468085106383,1.17709643766284,-3.9917058795690536,0.2117807203297565,0.1817712555066483
0.5,0.5,1000,Joint,Token-Time,-0.22786561264822147,0.6712,0.7606382978723404,0.3500181960562865,1.055723780145248,0.5319340835422588,0.2602097936365818
0.5,0.5,1001,Additive,Additive,-0.4295238095238096,0.6076,0.8495412844036697,0.566138056417306,36.93307920396328,0.29271577620256034,0.2197059550744597
0.5,0.5,1001,Joint,Token-Time,-0.09619047619047616,0.644,0.8055045871559633,0.4661647557591402,32.454283404598634,0.2178732940052162,0.0916115550741784
